Node,Id,Label,Cluster
"2820","2820","2820",2
"0901","0901","0901",0
"0251","0251","0251",0
"6575","6575","6575",6
"7421","7421","7421",7
"6575","6575","6575",6
"6581","6581","6581",6
"6575","6575","6575",6
"4241","4241","4241",4
"6575","6575","6575",6
"7521","7521","7521",7
"6831","6831","6831",6
"0752","0752","0752",0
"6831","6831","6831",6
"7731","7731","7731",7
"6831","6831","6831",6
"2665","2665","2665",2
"6831","6831","6831",6
"6354","6354","6354",6
"6831","6831","6831",6
"6534","6534","6534",6
"6831","6831","6831",6
"6643","6643","6643",6
"6831","6831","6831",6
"8459","8459","8459",8
"6831","6831","6831",6
"8431","8431","8431",8
"6831","6831","6831",6
"8472","8472","8472",8
"6831","6831","6831",6
"2872","2872","2872",2
"6831","6831","6831",6
"8439","8439","8439",8
"6831","6831","6831",6
"8434","8434","8434",8
"6831","6831","6831",6
"8442","8442","8442",8
"6921","6921","6921",6
"6973","6973","6973",6
"6921","6921","6921",6
"5542","5542","5542",5
"6921","6921","6921",6
"6417","6417","6417",6
"6921","6921","6921",6
"6911","6911","6911",6
"6921","6921","6921",6
"7449","7449","7449",7
"6921","6921","6921",6
"6351","6351","6351",6
"6921","6921","6921",6
"6428","6428","6428",6
"6921","6921","6921",6
"6924","6924","6924",6
"6921","6921","6921",6
"8932","8932","8932",8
"6921","6921","6921",6
"6785","6785","6785",6
"6921","6921","6921",6
"6996","6996","6996",6
"6921","6921","6921",6
"6618","6618","6618",6
"6921","6921","6921",6
"0730","0730","0730",0
"6921","6921","6921",6
"2235","2235","2235",2
"2771","2771","2771",2
"6973","6973","6973",6
"2771","2771","2771",2
"8122","8122","8122",8
"2771","2771","2771",2
"2732","2732","2732",2
"2771","2771","2771",2
"7752","7752","7752",7
"2771","2771","2771",2
"6783","6783","6783",6
"2771","2771","2771",2
"7932","7932","7932",7
"2450","2450","2450",2
"8219","8219","8219",8
"2450","2450","2450",2
"6359","6359","6359",6
"2450","2450","2450",2
"0118","0118","0118",0
"2450","2450","2450",2
"8822","8822","8822",8
"2450","2450","2450",2
"4111","4111","4111",4
"2450","2450","2450",2
"8211","8211","8211",8
"1211","1211","1211",1
"7439","7439","7439",7
"1211","1211","1211",1
"6863","6863","6863",6
