Source,Target,Weight,type
"6921","6351",0.6,Undirected
"6921","6428",0.5985186,Undirected
"6921","6924",0.5529851,Undirected
"6921","8932",0.6666667,Undirected
"6921","6785",0.56,Undirected
"6921","6996",0.6,Undirected
"6921","6618",0.5567077,Undirected
"6921","0730",0.56,Undirected
"6921","2235",0.0133333,Undirected
"2771","6973",0.0144928,Undirected
"2771","8122",0.0098039,Undirected
"2771","2732",0.0151515,Undirected
"2771","7752",0.0138889,Undirected
"2771","6783",0.0128205,Undirected
"2771","7932",0.0151515,Undirected
"2450","8219",0.5759898,Undirected
"2450","6359",0.5949036,Undirected
"2450","0118",0.5534819,Undirected
"2450","8822",0.0114943,Undirected
"2450","4111",0.0123457,Undirected
"2450","8211",0.5747674,Undirected
"1211","7439",0.0098039,Undirected
"1211","6863",0.020915,Undirected
"1211","1212",0.6222433,Undirected
"1211","7415",0.0111111,Undirected
"1211","8996",0.0098039,Undirected
"1211","7919",0.0098039,Undirected
"1211","8743",0.0111111,Undirected
"1211","7491",0.0098039,Undirected
"1211","7722",0.0098039,Undirected
"1211","2652",0.0111111,Undirected
"1211","7169",0.0098039,Undirected
"6259","5982",0.0128205,Undirected
"6259","6252",0.5787192,Undirected
"7721","6841",0.0114943,Undirected
"7721","7849",0.5571429,Undirected
"7721","7723",0.5571429,Undirected
"5831","5834",0.557971,Undirected
"5831","5832",0.6086956,Undirected
"5831","2682",0.0144928,Undirected
"5831","2235",0.0144928,Undirected
"5922","0224",0.6209001,Undirected
"5922","0230",0.575,Undirected
"5922","6812",0.0166667,Undirected
"5139","2876",0.015873,Undirected
"0574","2714",0.015873,Undirected
"0574","8972",0.015873,Undirected
"0574","0575",0.5804284,Undirected
"8822","5332",0.6527778,Undirected
"8822","8441",0.0079365,Undirected
"8822","6641",0.5797619,Undirected
"8822","5827",0.6130952,Undirected
"8822","6821",0.0138889,Undirected
"8822","6115",0.0107527,Undirected
"8822","8432",0.0095238,Undirected
"8822","8424",0.0079365,Undirected
"8822","8744",0.5518519,Undirected
"8822","6612",0.0087719,Undirected
"8822","8421",0.009009,Undirected
"8822","2879",0.0128205,Undirected
"8822","8973",0.0111111,Undirected
"8922","6428",0.5543827,Undirected
"8922","6553",0.0175439,Undirected
"8922","6424",0.5841073,Undirected
"5914","2879",0.0133333,Undirected
"7441","7234",0.6153846,Undirected
"7441","2632",0.0144928,Undirected
"7441","8442",0.0098039,Undirected
"7441","6419",0.5750916,Undirected
"7441","7442",0.582906,Undirected
"4314","6118",0.0196078,Undirected
"4314","7239",0.0175439,Undirected
"8941","9410",0.0144928,Undirected
"6597","6749",0.0166667,Undirected
"6597","9310",0.0128205,Undirected
"7267","7493",0.5606061,Undirected
"7267","8748",0.5580808,Undirected
"7267","7234",0.5534188,Undirected
"7267","5989",0.5909091,Undirected
"7267","7452",0.6489899,Undirected
"7267","5836",0.6070319,Undirected
"7267","7263",0.5606061,Undirected
"7267","7436",0.5753968,Undirected
"7267","7741",0.6010101,Undirected
"7267","7429",0.6565657,Undirected
"7267","7439",0.6136752,Undirected
"7267","0611",0.0087719,Undirected
"7267","7213",0.5990676,Undirected
"7267","5163",0.6186869,Undirected
"7267","7269",0.7449495,Undirected
"7267","8429",0.0079365,Undirected
"7267","8744",0.6489899,Undirected
"7267","7368",0.6313131,Undirected
"7267","7284",0.5580808,Undirected
"7267","7423",0.5606061,Undirected
"7267","7416",0.5860528,Undirected
"7267","7412",0.6010101,Undirected
"3352","6545",0.0138889,Undirected
"2320","6744",0.0114943,Undirected
"2320","5542",0.0166667,Undirected
"2320","8731",0.0144928,Undirected
"2320","6733",0.0166667,Undirected
"2320","6731",0.0123457,Undirected
"2320","6911",0.0128205,Undirected
"2320","2820",0.0095238,Undirected
"2320","8830",0.0238095,Undirected
"6651","0019",0.0107527,Undirected
"6651","0583",0.5598098,Undirected
"6651","8211",0.5685948,Undirected
"6651","6671",0.0114943,Undirected
"7149","8451",0.0072464,Undirected
"7149","0914",0.0151515,Undirected
"7622","2631",0.0074074,Undirected
"7622","6842",0.0098039,Undirected
"7622","8946",0.0166667,Undirected
"7622","8994",0.6349207,Undirected
"7622","7628",0.5972222,Undirected
"7622","7512",0.6126984,Undirected
"7622","8811",0.5555556,Undirected
"7622","6931",0.0128205,Undirected
"2872","8424",0.0079365,Undirected
"2872","6998",0.0196078,Undirected
"2872","5413",0.0166667,Undirected
"3414","8452",0.0079365,Undirected
"3414","2929",0.0098039,Undirected
"5155","5621",0.010101,Undirected
"5155","8219",0.0119048,Undirected
"5155","6359",0.0119048,Undirected
"5155","2927",0.0133333,Undirected
"5155","8122",0.0098039,Undirected
"5155","3344",0.0072464,Undirected
"5155","6666",0.0166667,Undirected
"5155","6353",0.0104167,Undirected
"5155","7521",0.5888889,Undirected
"6999","8451",0.0075758,Undirected
"6999","0546",0.0104167,Undirected
"6999","6514",0.0144928,Undirected
"6999","0149",0.0144928,Undirected
"6999","0589",0.0092593,Undirected
"5417","5530",0.6063492,Undirected
"5417","6996",0.6502886,Undirected
"5417","5334",0.5888889,Undirected
"5417","5543",0.5952381,Undirected
"0585","7928",0.0092593,Undirected
"0585","7138",0.0098039,Undirected
"0585","0589",0.5849673,Undirected
"5913","0721",0.0166667,Undirected
"2690","0721",0.0151515,Undirected
"6113","2714",0.0123457,Undirected
"6113","6114",0.7274846,Undirected
"0129","3354",0.0133333,Undirected
"0129","2225",0.0119048,Undirected
"0129","6521",0.008547,Undirected
"0129","8462",0.0072464,Undirected
"2671","2114",0.0138889,Undirected
"3510","0711",0.009009,Undirected
"6997","8939",0.6339869,Undirected
"6997","2117",0.0133333,Undirected
"6997","6635",0.5929825,Undirected
"6997","0611",0.0087719,Undirected
"6997","7369",0.5529412,Undirected
"6997","7449",0.6152047,Undirected
"6997","8212",0.5676692,Undirected
"6997","6785",0.6212754,Undirected
"6997","6424",0.5742461,Undirected
"6997","5335",0.572549,Undirected
"6997","7868",0.7389706,Undirected
"6997","7259",0.5503268,Undirected
"6997","7849",0.572549,Undirected
"6997","7919",0.6339869,Undirected
"6997","6210",0.6350763,Undirected
"6997","8935",0.6509804,Undirected
"6997","6998",0.5882353,Undirected
"6997","7169",0.6379085,Undirected
"7758","6973",0.5520421,Undirected
"7758","7929",0.015873,Undirected
"7758","0814",0.015873,Undirected
"0548","5841",0.0098039,Undirected
"0548","2784",0.0098039,Undirected
"0548","2741",0.0098039,Undirected
"0548","2120",0.0098039,Undirected
"6415","2631",0.0081301,Undirected
"6415","6413",0.6171311,Undirected
"6415","6412",0.6458333,Undirected
"6415","6951",0.5577915,Undirected
"6415","2518",0.6508715,Undirected
"6415","7919",0.5625,Undirected
"6642","2472",0.0095238,Undirected
"6642","7492",0.5641026,Undirected
"6635","7188",0.5763158,Undirected
"6635","6343",0.5549062,Undirected
"6635","6911",0.600641,Undirected
"6635","7449",0.7047619,Undirected
"6635","6115",0.0114943,Undirected
"6635","6424",0.5596491,Undirected
"6635","6673",0.0128205,Undirected
"6635","7211",0.627193,Undirected
"6635","6785",0.5571429,Undirected
"6635","7868",0.6447368,Undirected
"6635","6996",0.5707792,Undirected
"6635","7861",0.5763158,Undirected
"6635","8212",0.6207792,Undirected
"6635","6422",0.5719697,Undirected
"6635","7169",0.5763158,Undirected
"7435","7452",0.5858586,Undirected
"7435","7423",0.6343434,Undirected
"7435","8462",0.0140491,Undirected
"7751","0711",0.0095238,Undirected
"0571","0572",0.6113307,Undirected
"0571","6872",0.0185185,Undirected
"0571","6359",0.0128205,Undirected
"0571","6674",0.0151515,Undirected
"0571","6649",0.0151515,Undirected
"2111","6960",0.010101,Undirected
"2111","2112",0.7266569,Undirected
"2111","0742",0.0083333,Undirected
"2111","7621",0.0083333,Undirected
"2111","2667",0.0184343,Undirected
"6122","2231",0.0151515,Undirected
"6515","7239",0.0175439,Undirected
"2231","8932",0.0133333,Undirected
"2231","2734",0.0123457,Undirected
"2231","6725",0.0123457,Undirected
"2231","1213",0.0138889,Undirected
"2231","0484",0.0111111,Undirected
"2231","5721",0.0144928,Undirected
"2231","8424",0.008547,Undirected
"2231","8812",0.0166667,Undirected
"2231","0730",0.0133333,Undirected
"2231","0612",0.010101,Undirected
"6727","6744",0.6317241,Undirected
"6727","6749",0.5541753,Undirected
"6727","6746",0.5962733,Undirected
"6727","7521",0.0144928,Undirected
"2225","4311",0.0123457,Undirected
"2225","6572",0.0119048,Undirected
"2225","8974",0.0123457,Undirected
"2225","2471",0.0119048,Undirected
"2225","7211",0.0119048,Undirected
"2225","6579",0.0119048,Undirected
"2225","7921",0.0119048,Undirected
"2225","7361",0.0123457,Undirected
"2225","2517",0.0119048,Undirected
"7252","2783",0.0151515,Undirected
"7252","0711",0.0095238,Undirected
"7252","2481",0.0175439,Undirected
"7252","6596",0.0151515,Undirected
"7252","6841",0.0111111,Undirected
"7252","5221",0.0138889,Undirected
"8429","8472",0.6014615,Undirected
"8429","8452",0.7238676,Undirected
"8429","6584",0.5848045,Undirected
"8429","7263",0.0079365,Undirected
"8429","8431",0.7399245,Undirected
"8429","3415",0.0079365,Undirected
"8429","8433",0.7854487,Undirected
"8429","8421",0.7062041,Undirected
"8429","0121",0.0081301,Undirected
"8429","8423",0.6479972,Undirected
"8429","8996",0.0081301,Undirected
"8429","8442",0.6752613,Undirected
"8429","8435",0.804607,Undirected
"8429","8451",0.7286373,Undirected
"8429","8441",0.7716931,Undirected
"8429","8439",0.7113599,Undirected
"8429","8465",0.6262679,Undirected
"8429","8459",0.7228571,Undirected
"8429","7131",0.0083333,Undirected
"8429","8432",0.6504743,Undirected
"8429","8424",0.6475029,Undirected
"8429","8463",0.7108669,Undirected
"8429","8462",0.6823425,Undirected
"8429","8434",0.7810008,Undirected
"8429","4234",0.0083333,Undirected
"8429","8443",0.6175281,Undirected
"7239","3353",0.0175439,Undirected
"7239","0721",0.015873,Undirected
"7239","8952",0.0175439,Undirected
"7239","6624",0.0175439,Undirected
"8983","8744",0.6276094,Undirected
"8983","7528",0.5555556,Undirected
"8983","7522",0.7121212,Undirected
"8983","8959",0.6216931,Undirected
"8983","8423",0.0057471,Undirected
"8983","5836",0.5566434,Undirected
"8983","5989",0.5707071,Undirected
"8983","5332",0.6401515,Undirected
"6343","6912",0.5541126,Undirected
"6343","6416",0.5920817,Undirected
"6343","6351",0.6300505,Undirected
"6343","6611",0.6192641,Undirected
"6343","6349",0.6004294,Undirected
"6343","6672",0.0151515,Undirected
"2516","2512",0.5515152,Undirected
"2516","8973",0.0111111,Undirected
"2919","5157",0.0107527,Undirected
"6353","8219",0.6221265,Undirected
"6353","6359",0.5733785,Undirected
"6353","6416",0.596367,Undirected
"6353","6342",0.5837952,Undirected
"6353","6341",0.5741902,Undirected
"6353","8211",0.6201765,Undirected
"5335","8939",0.5875,Undirected
"5335","5822",0.5865546,Undirected
"5335","7234",0.582906,Undirected
"5335","7868",0.5972222,Undirected
"5335","6632",0.7008547,Undirected
"5335","7283",0.589597,Undirected
"5335","7492",0.6307693,Undirected
"5335","6546",0.5600491,Undirected
"5335","7436",0.5920635,Undirected
"5335","7219",0.622619,Undirected
"5335","7449",0.5659148,Undirected
"5335","7212",0.557265,Undirected
"5335","6577",0.6319445,Undirected
"5335","5334",0.6008715,Undirected
"5335","0611",0.0087719,Undirected
"5335","6418",0.6855769,Undirected
"5335","6424",0.5927646,Undirected
"5335","6953",0.550463,Undirected
"5335","5837",0.582906,Undirected
"5335","6996",0.5715007,Undirected
"5335","5419",0.557265,Undirected
"5335","7413",0.5606838,Undirected
"5335","6992",0.5555556,Undirected
"5335","6210",0.589597,Undirected
"5335","8121",0.5655983,Undirected
"5335","6991",0.568254,Undirected
"5335","6572",0.5555556,Undirected
"5335","7259",0.5863248,Undirected
"5335","7442",0.5777778,Undirected
